id,term,termDesc,courseReferenceNumber,partOfTerm,courseNumber,courseDisplay,subject,subjectDescription,sequenceNumber,campusDescription,scheduleTypeDescription,courseTitle,creditHours,maximumEnrollment,enrollment,seatsAvailable,waitCapacity,waitCount,waitAvailable,crossList,crossListCapacity,crossListCount,crossListAvailable,creditHourHigh,creditHourLow,creditHourIndicator,openSection,linkIdentifier,isSectionLinked,subjectCourse,faculty,meetingsFaculty,reservedSeatSummary,sectionAttributes,instructionalMethod,instructionalMethodDescription,prerequisites
888900,202440,"Fall 2024",37423,1,003,003,MATH,Mathematics,001,Riverside,Laboratory,"COLLEGE MATHEMATICS FUNDAMENTALS AND PROBLEM SOLVING",3,30,30,0,0,0,0,,,,,3,0,OR,0,B1,1,MATH003,"[{""bannerId"": ""7246"", ""category"": null, ""class"": ""net.hedtech.banner.student.faculty.FacultyResultDecorator"", ""courseReferenceNumber"": ""37423"", ""displayName"": ""Coya, Brandon"", ""emailAddress"": ""brandon.coya@email.ucr.edu"", ""primaryIndicator"": false, ""term"": ""202440""}, {""bannerId"": ""7250"", ""category"": null, ""class"": ""net.hedtech.banner.student.faculty.FacultyResultDecorator"", ""courseReferenceNumber"": ""37423"", ""displayName"": ""le, Huong"", ""emailAddress"": ""huong.le@email.ucr.edu"", ""primaryIndicator"": true, ""term"": ""202440""}]","[{""category"": ""01"", ""class"": ""net.hedtech.banner.student.schedule.SectionSessionDecorator"", ""courseReferenceNumber"": ""37423"", ""faculty"": [], ""meetingTime"": {""beginTime"": ""0930"", ""building"": ""INTS"", ""buildingDescription"": ""CHASS Interdisciplinary-South"", ""campus"": ""C"", ""campusDescription"": ""Riverside"", ""category"": ""01"", ""class"": ""net.hedtech.banner.general.overall.MeetingTimeDecorator"", ""courseReferenceNumber"": ""37423"", ""creditHourSession"": 3.0, ""endDate"": ""12/06/2024"", ""endTime"": ""1050"", ""friday"": false, ""hoursWeek"": 2.66, ""meetingScheduleType"": ""LAB"", ""meetingType"": ""LAB"", ""meetingTypeDescription"": ""Laboratory"", ""monday"": true, ""room"": ""2130"", ""saturday"": false, ""startDate"": ""09/26/2024"", ""sunday"": false, ""term"": ""202440"", ""thursday"": false, ""tuesday"": false, ""wednesday"": true}, ""term"": ""202440""}]","{""class"": ""net.hedtech.banner.student.schedule.SectionReservedSeatSummaryDecorator"", ""courseReferenceNumber"": ""37423"", ""maximumEnrollmentReserved"": 24, ""maximumEnrollmentUnreserved"": 6, ""seatsAvailableReserved"": 0, ""seatsAvailableUnreserved"": 0, ""termCode"": ""202440"", ""waitAvailableReserved"": 0, ""waitAvailableUnreserved"": 0, ""waitCapacityReserved"": 0, ""waitCapacityUnreserved"": 0}",,I,In-Person,"Prerequisites:MATH003Math: Score for Prereq 600 to 601
 May not be taken concurrently.)"
888901,202440,"Fall 2024",37424,1,003,003,MATH,Mathematics,002,Riverside,Laboratory,"COLLEGE MATHEMATICS FUNDAMENTALS AND PROBLEM SOLVING",3,30,30,0,0,0,0,,,,,3,0,OR,0,B1,1,MATH003,"[{""bannerId"": ""7246"", ""category"": null, ""class"": ""net.hedtech.banner.student.faculty.FacultyResultDecorator"", ""courseReferenceNumber"": ""37424"", ""displayName"": ""Coya, Brandon"", ""emailAddress"": ""brandon.coya@email.ucr.edu"", ""primaryIndicator"": false, ""term"": ""202440""}, {""bannerId"": ""7251"", ""category"": null, ""class"": ""net.hedtech.banner.student.faculty.FacultyResultDecorator"", ""courseReferenceNumber"": ""37424"", ""displayName"": ""Hsia, Peter"", ""emailAddress"": ""peter.hsia@email.ucr.edu"", ""primaryIndicator"": true, ""term"": ""202440""}]","[{""category"": ""01"", ""class"": ""net.hedtech.banner.student.schedule.SectionSessionDecorator"", ""courseReferenceNumber"": ""37424"", ""faculty"": [], ""meetingTime"": {""beginTime"": ""0930"", ""building"": ""INTS"", ""buildingDescription"": ""CHASS Interdisciplinary-South"", ""campus"": ""C"", ""campusDescription"": ""Riverside"", ""category"": ""01"", ""class"": ""net.hedtech.banner.general.overall.MeetingTimeDecorator"", ""courseReferenceNumber"": ""37424"", ""creditHourSession"": 3.0, ""endDate"": ""12/06/2024"", ""endTime"": ""1050"", ""friday"": false, ""hoursWeek"": 2.66, ""meetingScheduleType"": ""LAB"", ""meetingType"": ""LAB"", ""meetingTypeDescription"": ""Laboratory"", ""monday"": true, ""room"": ""1130"", ""saturday"": false, ""startDate"": ""09/26/2024"", ""sunday"": false, ""term"": ""202440"", ""thursday"": false, ""tuesday"": false, ""wednesday"": true}, ""term"": ""202440""}]","{""class"": ""net.hedtech.banner.student.schedule.SectionReservedSeatSummaryDecorator"", ""courseReferenceNumber"": ""37424"", ""maximumEnrollmentReserved"": 24, ""maximumEnrollmentUnreserved"": 6, ""seatsAvailableReserved"": 0, ""seatsAvailableUnreserved"": 0, ""termCode"": ""202440"", ""waitAvailableReserved"": 0, ""waitAvailableUnreserved"": 0, ""waitCapacityReserved"": 0, ""waitCapacityUnreserved"": 0}",,I,In-Person,"Prerequisites:MATH003Math: Score for Prereq 600 to 601
 May not be taken concurrently.)"
888902,202440,"Fall 2024",37425,1,003,003,MATH,Mathematics,003,Riverside,Laboratory,"COLLEGE MATHEMATICS FUNDAMENTALS AND PROBLEM SOLVING",3,30,30,0,0,0,0,,,,,3,0,OR,0,B1,1,MATH003,"[{""bannerId"": ""7246"", ""category"": null, ""class"": ""net.hedtech.banner.student.faculty.FacultyResultDecorator"", ""courseReferenceNumber"": ""37425"", ""displayName"": ""Coya, Brandon"", ""emailAddress"": ""brandon.coya@email.ucr.edu"", ""primaryIndicator"": false, ""term"": ""202440""}, {""bannerId"": ""7252"", ""category"": null, ""class"": ""net.hedtech.banner.student.faculty.FacultyResultDecorator"", ""courseReferenceNumber"": ""37425"", ""displayName"": ""Medina, Jackeline"", ""emailAddress"": ""jamedina723@gmail.com"", ""primaryIndicator"": true, ""term"": ""202440""}]","[{""category"": ""01"", ""class"": ""net.hedtech.banner.student.schedule.SectionSessionDecorator"", ""courseReferenceNumber"": ""37425"", ""faculty"": [], ""meetingTime"": {""beginTime"": ""1100"", ""building"": ""SKYE"", ""buildingDescription"": ""Skye Hall"", ""campus"": ""C"", ""campusDescription"": ""Riverside"", ""category"": ""01"", ""class"": ""net.hedtech.banner.general.overall.MeetingTimeDecorator"", ""courseReferenceNumber"": ""37425"", ""creditHourSession"": 3.0, ""endDate"": ""12/06/2024"", ""endTime"": ""1220"", ""friday"": false, ""hoursWeek"": 2.66, ""meetingScheduleType"": ""LAB"", ""meetingType"": ""LAB"", ""meetingTypeDescription"": ""Laboratory"", ""monday"": true, ""room"": ""170"", ""saturday"": false, ""startDate"": ""09/26/2024"", ""sunday"": false, ""term"": ""202440"", ""thursday"": false, ""tuesday"": false, ""wednesday"": true}, ""term"": ""202440""}]","{""class"": ""net.hedtech.banner.student.schedule.SectionReservedSeatSummaryDecorator"", ""courseReferenceNumber"": ""37425"", ""maximumEnrollmentReserved"": 10, ""maximumEnrollmentUnreserved"": 20, ""seatsAvailableReserved"": 0, ""seatsAvailableUnreserved"": 0, ""termCode"": ""202440"", ""waitAvailableReserved"": 0, ""waitAvailableUnreserved"": 0, ""waitCapacityReserved"": 0, ""waitCapacityUnreserved"": 0}",,I,In-Person,"Prerequisites:MATH003Math: Score for Prereq 600 to 601
 May not be taken concurrently.)"
888903,202440,"Fall 2024",37426,1,003,003,MATH,Mathematics,004,Riverside,Laboratory,"COLLEGE MATHEMATICS FUNDAMENTALS AND PROBLEM SOLVING",3,30,30,0,0,0,0,,,,,3,0,OR,0,B1,1,MATH003,"[{""bannerId"": ""7246"", ""category"": null, ""class"": ""net.hedtech.banner.student.faculty.FacultyResultDecorator"", ""courseReferenceNumber"": ""37426"", ""displayName"": ""Coya, Brandon"", ""emailAddress"": ""brandon.coya@email.ucr.edu"", ""primaryIndicator"": false, ""term"": ""202440""}, {""bannerId"": ""7253"", ""category"": null, ""class"": ""net.hedtech.banner.student.faculty.FacultyResultDecorator"", ""courseReferenceNumber"": ""37426"", ""displayName"": ""Matta, David"", ""emailAddress"": ""david.matta@email.ucr.edu"", ""primaryIndicator"": true, ""term"": ""202440""}]","[{""category"": ""01"", ""class"": ""net.hedtech.banner.student.schedule.SectionSessionDecorator"", ""courseReferenceNumber"": ""37426"", ""faculty"": [], ""meetingTime"": {""beginTime"": ""1100"", ""building"": ""INTS"", ""buildingDescription"": ""CHASS Interdisciplinary-South"", ""campus"": ""C"", ""campusDescription"": ""Riverside"", ""category"": ""01"", ""class"": ""net.hedtech.banner.general.overall.MeetingTimeDecorator"", ""courseReferenceNumber"": ""37426"", ""creditHourSession"": 3.0, ""endDate"": ""12/06/2024"", ""endTime"": ""1220"", ""friday"": false, ""hoursWeek"": 2.66, ""meetingScheduleType"": ""LAB"", ""meetingType"": ""LAB"", ""meetingTypeDescription"": ""Laboratory"", ""monday"": true, ""room"": ""2130"", ""saturday"": false, ""startDate"": ""09/26/2024"", ""sunday"": false, ""term"": ""202440"", ""thursday"": false, ""tuesday"": false, ""wednesday"": true}, ""term"": ""202440""}]","{""class"": ""net.hedtech.banner.student.schedule.SectionReservedSeatSummaryDecorator"", ""courseReferenceNumber"": ""37426"", ""maximumEnrollmentReserved"": 24, ""maximumEnrollmentUnreserved"": 6, ""seatsAvailableReserved"": 0, ""seatsAvailableUnreserved"": 0, ""termCode"": ""202440"", ""waitAvailableReserved"": 0, ""waitAvailableUnreserved"": 0, ""waitCapacityReserved"": 0, ""waitCapacityUnreserved"": 0}",,I,In-Person,"Prerequisites:MATH003Math: Score for Prereq 600 to 601
 May not be taken concurrently.)"
888904,202440,"Fall 2024",37428,1,003,003,MATH,Mathematics,005,Riverside,Laboratory,"COLLEGE MATHEMATICS FUNDAMENTALS AND PROBLEM SOLVING",3,30,30,0,0,0,0,,,,,3,0,OR,0,B1,1,MATH003,"[{""bannerId"": ""7246"", ""category"": null, ""class"": ""net.hedtech.banner.student.faculty.FacultyResultDecorator"", ""courseReferenceNumber"": ""37428"", ""displayName"": ""Coya, Brandon"", ""emailAddress"": ""brandon.coya@email.ucr.edu"", ""primaryIndicator"": false, ""term"": ""202440""}, {""bannerId"": ""7254"", ""category"": null, ""class"": ""net.hedtech.banner.student.faculty.FacultyResultDecorator"", ""courseReferenceNumber"": ""37428"", ""displayName"": ""Fahs, Jana"", ""emailAddress"": ""jana.fahs@email.ucr.edu"", ""primaryIndicator"": true, ""term"": ""202440""}]","[{""category"": ""01"", ""class"": ""net.hedtech.banner.student.schedule.SectionSessionDecorator"", ""courseReferenceNumber"": ""37428"", ""faculty"": [], ""meetingTime"": {""beginTime"": ""1230"", ""building"": ""INTS"", ""buildingDescription"": ""CHASS Interdisciplinary-South"", ""campus"": ""C"", ""campusDescription"": ""Riverside"", ""category"": ""01"", ""class"": ""net.hedtech.banner.general.overall.MeetingTimeDecorator"", ""courseReferenceNumber"": ""37428"", ""creditHourSession"": 3.0, ""endDate"": ""12/06/2024"", ""endTime"": ""1350"", ""friday"": false, ""hoursWeek"": 2.66, ""meetingScheduleType"": ""LAB"", ""meetingType"": ""LAB"", ""meetingTypeDescription"": ""Laboratory"", ""monday"": true, ""room"": ""2130"", ""saturday"": false, ""startDate"": ""09/26/2024"", ""sunday"": false, ""term"": ""202440"", ""thursday"": false, ""tuesday"": false, ""wednesday"": true}, ""term"": ""202440""}]","{""class"": ""net.hedtech.banner.student.schedule.SectionReservedSeatSummaryDecorator"", ""courseReferenceNumber"": ""37428"", ""maximumEnrollmentReserved"": 18, ""maximumEnrollmentUnreserved"": 12, ""seatsAvailableReserved"": 0, ""seatsAvailableUnreserved"": 0, ""termCode"": ""202440"", ""waitAvailableReserved"": 0, ""waitAvailableUnreserved"": 0, ""waitCapacityReserved"": 0, ""waitCapacityUnreserved"": 0}",,I,In-Person,"Prerequisites:MATH003Math: Score for Prereq 600 to 601
 May not be taken concurrently.)"
888905,202440,"Fall 2024",37429,1,003,003,MATH,Mathematics,006,Riverside,Laboratory,"COLLEGE MATHEMATICS FUNDAMENTALS AND PROBLEM SOLVING",3,30,30,0,0,0,0,,,,,3,0,OR,0,B1,1,MATH003,"[{""bannerId"": ""7246"", ""category"": null, ""class"": ""net.hedtech.banner.student.faculty.FacultyResultDecorator"", ""courseReferenceNumber"": ""37429"", ""displayName"": ""Coya, Brandon"", ""emailAddress"": ""brandon.coya@email.ucr.edu"", ""primaryIndicator"": false, ""term"": ""202440""}, {""bannerId"": ""7255"", ""category"": null, ""class"": ""net.hedtech.banner.student.faculty.FacultyResultDecorator"", ""courseReferenceNumber"": ""37429"", ""displayName"": ""Ramirez, Gisele"", ""emailAddress"": ""gisele.ramirez@email.ucr.edu"", ""primaryIndicator"": true, ""term"": ""202440""}]","[{""category"": ""01"", ""class"": ""net.hedtech.banner.student.schedule.SectionSessionDecorator"", ""courseReferenceNumber"": ""37429"", ""faculty"": [], ""meetingTime"": {""beginTime"": ""1230"", ""building"": ""INTS"", ""buildingDescription"": ""CHASS Interdisciplinary-South"", ""campus"": ""C"", ""campusDescription"": ""Riverside"", ""category"": ""01"", ""class"": ""net.hedtech.banner.general.overall.MeetingTimeDecorator"", ""courseReferenceNumber"": ""37429"", ""creditHourSession"": 0.0, ""endDate"": ""12/06/2024"", ""endTime"": ""1350"", ""friday"": false, ""hoursWeek"": 2.66, ""meetingScheduleType"": ""LAB"", ""meetingType"": ""LAB"", ""meetingTypeDescription"": ""Laboratory"", ""monday"": true, ""room"": ""1130"", ""saturday"": false, ""startDate"": ""09/26/2024"", ""sunday"": false, ""term"": ""202440"", ""thursday"": false, ""tuesday"": false, ""wednesday"": true}, ""term"": ""202440""}]","{""class"": ""net.hedtech.banner.student.schedule.SectionReservedSeatSummaryDecorator"", ""courseReferenceNumber"": ""37429"", ""maximumEnrollmentReserved"": 23, ""maximumEnrollmentUnreserved"": 7, ""seatsAvailableReserved"": 0, ""seatsAvailableUnreserved"": 0, ""termCode"": ""202440"", ""waitAvailableReserved"": 0, ""waitAvailableUnreserved"": 0, ""waitCapacityReserved"": 0, ""waitCapacityUnreserved"": 0}",,I,In-Person,"Prerequisites:MATH003Math: Score for Prereq 600 to 601
 May not be taken concurrently.)"
888906,202440,"Fall 2024",37430,1,003,003,MATH,Mathematics,007,Riverside,Laboratory,"COLLEGE MATHEMATICS FUNDAMENTALS AND PROBLEM SOLVING",3,30,30,0,0,0,0,,,,,3,0,OR,0,B1,1,MATH003,"[{""bannerId"": ""7246"", ""category"": null, ""class"": ""net.hedtech.banner.student.faculty.FacultyResultDecorator"", ""courseReferenceNumber"": ""37430"", ""displayName"": ""Coya, Brandon"", ""emailAddress"": ""brandon.coya@email.ucr.edu"", ""primaryIndicator"": false, ""term"": ""202440""}, {""bannerId"": ""7256"", ""category"": null, ""class"": ""net.hedtech.banner.student.faculty.FacultyResultDecorator"", ""courseReferenceNumber"": ""37430"", ""displayName"": ""Bautista, Glen"", ""emailAddress"": ""glen.bautista@email.ucr.edu"", ""primaryIndicator"": true, ""term"": ""202440""}]","[{""category"": ""01"", ""class"": ""net.hedtech.banner.student.schedule.SectionSessionDecorator"", ""courseReferenceNumber"": ""37430"", ""faculty"": [], ""meetingTime"": {""beginTime"": ""1530"", ""building"": ""INTS"", ""buildingDescription"": ""CHASS Interdisciplinary-South"", ""campus"": ""C"", ""campusDescription"": ""Riverside"", ""category"": ""01"", ""class"": ""net.hedtech.banner.general.overall.MeetingTimeDecorator"", ""courseReferenceNumber"": ""37430"", ""creditHourSession"": 3.0, ""endDate"": ""12/06/2024"", ""endTime"": ""1650"", ""friday"": false, ""hoursWeek"": 2.66, ""meetingScheduleType"": ""LAB"", ""meetingType"": ""LAB"", ""meetingTypeDescription"": ""Laboratory"", ""monday"": true, ""room"": ""2130"", ""saturday"": false, ""startDate"": ""09/26/2024"", ""sunday"": false, ""term"": ""202440"", ""thursday"": false, ""tuesday"": false, ""wednesday"": true}, ""term"": ""202440""}]","{""class"": ""net.hedtech.banner.student.schedule.SectionReservedSeatSummaryDecorator"", ""courseReferenceNumber"": ""37430"", ""maximumEnrollmentReserved"": 24, ""maximumEnrollmentUnreserved"": 6, ""seatsAvailableReserved"": 0, ""seatsAvailableUnreserved"": 0, ""termCode"": ""202440"", ""waitAvailableReserved"": 0, ""waitAvailableUnreserved"": 0, ""waitCapacityReserved"": 0, ""waitCapacityUnreserved"": 0}",,I,In-Person,"Prerequisites:MATH003Math: Score for Prereq 600 to 601
 May not be taken concurrently.)"
888907,202440,"Fall 2024",37431,1,003,003,MATH,Mathematics,008,Riverside,Laboratory,"COLLEGE MATHEMATICS FUNDAMENTALS AND PROBLEM SOLVING",3,30,29,1,0,0,0,,,,,3,0,OR,1,B1,1,MATH003,"[{""bannerId"": ""7246"", ""category"": null, ""class"": ""net.hedtech.banner.student.faculty.FacultyResultDecorator"", ""courseReferenceNumber"": ""37431"", ""displayName"": ""Coya, Brandon"", ""emailAddress"": ""brandon.coya@email.ucr.edu"", ""primaryIndicator"": false, ""term"": ""202440""}, {""bannerId"": ""7257"", ""category"": null, ""class"": ""net.hedtech.banner.student.faculty.FacultyResultDecorator"", ""courseReferenceNumber"": ""37431"", ""displayName"": ""Yoo, Eliot"", ""emailAddress"": ""eyoo018@email.ucr.edu"", ""primaryIndicator"": true, ""term"": ""202440""}]","[{""category"": ""01"", ""class"": ""net.hedtech.banner.student.schedule.SectionSessionDecorator"", ""courseReferenceNumber"": ""37431"", ""faculty"": [], ""meetingTime"": {""beginTime"": ""1530"", ""building"": ""INTS"", ""buildingDescription"": ""CHASS Interdisciplinary-South"", ""campus"": ""C"", ""campusDescription"": ""Riverside"", ""category"": ""01"", ""class"": ""net.hedtech.banner.general.overall.MeetingTimeDecorator"", ""courseReferenceNumber"": ""37431"", ""creditHourSession"": 3.0, ""endDate"": ""12/06/2024"", ""endTime"": ""1650"", ""friday"": false, ""hoursWeek"": 2.66, ""meetingScheduleType"": ""LAB"", ""meetingType"": ""LAB"", ""meetingTypeDescription"": ""Laboratory"", ""monday"": true, ""room"": ""1130"", ""saturday"": false, ""startDate"": ""09/26/2024"", ""sunday"": false, ""term"": ""202440"", ""thursday"": false, ""tuesday"": false, ""wednesday"": true}, ""term"": ""202440""}]","{""class"": ""net.hedtech.banner.student.schedule.SectionReservedSeatSummaryDecorator"", ""courseReferenceNumber"": ""37431"", ""maximumEnrollmentReserved"": 19, ""maximumEnrollmentUnreserved"": 11, ""seatsAvailableReserved"": 0, ""seatsAvailableUnreserved"": 1, ""termCode"": ""202440"", ""waitAvailableReserved"": 0, ""waitAvailableUnreserved"": 0, ""waitCapacityReserved"": 0, ""waitCapacityUnreserved"": 0}",,I,In-Person,"Prerequisites:MATH003Math: Score for Prereq 600 to 601
 May not be taken concurrently.)"
889015,202440,"Fall 2024",37512,1,003,003,MATH,Mathematics,010,"UCR Online",Screening,"COLLEGE MATHEMATICS FUNDAMENTALS AND PROBLEM SOLVING",0,30,30,0,99,0,99,,,,,3,0,OR,1,E1,1,MATH003,"[{""bannerId"": ""7246"", ""category"": null, ""class"": ""net.hedtech.banner.student.faculty.FacultyResultDecorator"", ""courseReferenceNumber"": ""37512"", ""displayName"": ""Coya, Brandon"", ""emailAddress"": ""brandon.coya@email.ucr.edu"", ""primaryIndicator"": true, ""term"": ""202440""}]","[{""category"": ""01"", ""class"": ""net.hedtech.banner.student.schedule.SectionSessionDecorator"", ""courseReferenceNumber"": ""37512"", ""faculty"": [], ""meetingTime"": {""beginTime"": null, ""building"": ""ONLINE"", ""buildingDescription"": ""Online"", ""campus"": ""C"", ""campusDescription"": ""Riverside"", ""category"": ""01"", ""class"": ""net.hedtech.banner.general.overall.MeetingTimeDecorator"", ""courseReferenceNumber"": ""37512"", ""creditHourSession"": 0.0, ""endDate"": ""12/06/2024"", ""endTime"": null, ""friday"": false, ""hoursWeek"": 0.0, ""meetingScheduleType"": ""SCR"", ""meetingType"": ""SCR"", ""meetingTypeDescription"": ""Screening"", ""monday"": false, ""room"": ""ONLINE"", ""saturday"": false, ""startDate"": ""09/26/2024"", ""sunday"": false, ""term"": ""202440"", ""thursday"": false, ""tuesday"": false, ""wednesday"": false}, ""term"": ""202440""}]","{""class"": ""net.hedtech.banner.student.schedule.SectionReservedSeatSummaryDecorator"", ""courseReferenceNumber"": ""37512"", ""maximumEnrollmentReserved"": 24, ""maximumEnrollmentUnreserved"": 6, ""seatsAvailableReserved"": 0, ""seatsAvailableUnreserved"": 0, ""termCode"": ""202440"", ""waitAvailableReserved"": 0, ""waitAvailableUnreserved"": 99, ""waitCapacityReserved"": 0, ""waitCapacityUnreserved"": 99}",,O,Online,"Prerequisites:MATH003Math: Score for Prereq 600 to 601
 May not be taken concurrently.)"
889016,202440,"Fall 2024",37513,1,003,003,MATH,Mathematics,011,"UCR Online",Screening,"COLLEGE MATHEMATICS FUNDAMENTALS AND PROBLEM SOLVING",0,30,30,0,99,0,99,,,,,3,0,OR,1,E1,1,MATH003,"[{""bannerId"": ""7246"", ""category"": null, ""class"": ""net.hedtech.banner.student.faculty.FacultyResultDecorator"", ""courseReferenceNumber"": ""37513"", ""displayName"": ""Coya, Brandon"", ""emailAddress"": ""brandon.coya@email.ucr.edu"", ""primaryIndicator"": true, ""term"": ""202440""}]","[{""category"": ""01"", ""class"": ""net.hedtech.banner.student.schedule.SectionSessionDecorator"", ""courseReferenceNumber"": ""37513"", ""faculty"": [], ""meetingTime"": {""beginTime"": null, ""building"": ""ONLINE"", ""buildingDescription"": ""Online"", ""campus"": ""C"", ""campusDescription"": ""Riverside"", ""category"": ""01"", ""class"": ""net.hedtech.banner.general.overall.MeetingTimeDecorator"", ""courseReferenceNumber"": ""37513"", ""creditHourSession"": 0.0, ""endDate"": ""12/06/2024"", ""endTime"": null, ""friday"": false, ""hoursWeek"": 0.0, ""meetingScheduleType"": ""SCR"", ""meetingType"": ""SCR"", ""meetingTypeDescription"": ""Screening"", ""monday"": false, ""room"": ""ONLINE"", ""saturday"": false, ""startDate"": ""09/26/2024"", ""sunday"": false, ""term"": ""202440"", ""thursday"": false, ""tuesday"": false, ""wednesday"": false}, ""term"": ""202440""}]","{""class"": ""net.hedtech.banner.student.schedule.SectionReservedSeatSummaryDecorator"", ""courseReferenceNumber"": ""37513"", ""maximumEnrollmentReserved"": 24, ""maximumEnrollmentUnreserved"": 6, ""seatsAvailableReserved"": 0, ""seatsAvailableUnreserved"": 0, ""termCode"": ""202440"", ""waitAvailableReserved"": 0, ""waitAvailableUnreserved"": 99, ""waitCapacityReserved"": 0, ""waitCapacityUnreserved"": 99}",,O,Online,"Prerequisites:MATH003Math: Score for Prereq 600 to 601
 May not be taken concurrently.)"
